


GOOGLE
157.55.32.106   msnbot-157-55-32-106.search.msn.com
157.55.33.253   msnbot-157-55-33-253.search.msn.com
157.55.32.186   msnbot-157-55-32-186.search.msn.com
157.55.32.83    msnbot-157-55-32-83.search.msn.com
157.55.32.58    msnbot-157-55-32-58.search.msn.com
157.55.32.96    msnbot-157-55-32-96.search.msn.com
157.55.35.53    msnbot-157-55-35-53.search.msn.com
157.55.35.81    msnbot-157-55-35-81.search.msn.com
157.55.35.46    msnbot-157-55-35-46.search.msn.com
157.55.34.183   msnbot-157-55-34-183.search.msn.com
157.56.229.189  msnbot-157-56-229-189.search.msn.com
131.253.47.173  msnbot-131-253-47-173.search.msn.com
131.253.47.230  msnbot-131-253-47-230.search.msn.com
131.253.47.253  msnbot-131-253-47-253.search.msn.com
131.253.47.188  msnbot-131-253-47-188.search.msn.com
131.253.47.158  msnbot-131-253-47-158.search.msn.com
131.253.47.219  msnbot-131-253-47-219.search.msn.com
157.56.93.150   msnbot-157-56-93-150.search.msn.com
157.55.32.109   msnbot-157-55-32-109.search.msn.com
157.55.36.39    msnbot-157-55-36-39.search.msn.com
157.55.32.111   msnbot-157-55-32-111.search.msn.com
157.55.35.37    msnbot-157-55-35-37.search.msn.com
157.55.34.32    msnbot-157-55-34-32.search.msn.com
157.55.33.20    msnbot-157-55-33-20.search.msn.com
157.55.33.24    msnbot-157-55-33-24.search.msn.com
157.55.33.80    msnbot-157-55-33-80.search.msn.com
157.55.32.149   msnbot-157-55-32-149.search.msn.com
157.55.34.180   msnbot-157-55-34-180.search.msn.com
157.55.33.123   msnbot-157-55-33-123.search.msn.com
157.55.35.38    msnbot-157-55-35-38.search.msn.com
157.55.32.80    msnbot-157-55-32-80.search.msn.com
157.55.35.48    msnbot-157-55-35-48.search.msn.com
157.55.32.98    msnbot-157-55-32-98.search.msn.com
131.253.46.114  msnbot-131-253-46-114.search.msn.com
131.253.46.241   msnbot-131-253-46-241.search.msn.com
131.253.47.155   msnbot-131-253-47-155.search.msn.com
131.253.47.180   msnbot-131-253-47-180.search.msn.com
157.56.229.88    msnbot-157-56-229-88.search.msn.com
157.55.33.14     msnbot-157-55-33-14.search.msn.com
65.55.24.236     msnbot-65-55-24-236.search.msn.com
157.55.35.100   msnbot-157-55-35-100.search.msn.com
131.253.46.246  msnbot-131-253-46-246.search.msn.com
131.253.46.251  msnbot-131-253-46-251.search.msn.com
